Date;Close
31/05/2022;252.753.326
01/06/2022;246.789.993
02/06/2022;258.333.344
03/06/2022;234.516.663
06/06/2022;238.279.999
07/06/2022;238.886.673
08/06/2022;241.866.669
09/06/2022;239.706.665
10/06/2022;232.229.996
13/06/2022;215.736.664
14/06/2022;220.889.999
15/06/2022;233.000.000
16/06/2022;213.100.006
17/06/2022;216.759.995
21/06/2022;237.036.667
22/06/2022;236.086.670
23/06/2022;235.070.007
24/06/2022;245.706.665
27/06/2022;244.919.998
28/06/2022;232.663.330
29/06/2022;228.490.005
30/06/2022;224.473.328
01/07/2022;227.263.336
05/07/2022;233.066.666
06/07/2022;231.733.337
07/07/2022;244.543.335
08/07/2022;250.763.336
11/07/2022;234.343.338
12/07/2022;233.070.007
13/07/2022;237.039.993
14/07/2022;238.313.339
15/07/2022;240.066.666
18/07/2022;240.546.661
19/07/2022;245.529.999
20/07/2022;247.500.000
21/07/2022;271.706.665
22/07/2022;272.243.347
25/07/2022;268.433.319
26/07/2022;258.859.985
27/07/2022;274.820.007
28/07/2022;280.899.994
29/07/2022;297.149.994
01/08/2022;297.276.672
02/08/2022;300.586.670
03/08/2022;307.396.667
04/08/2022;308.633.331
05/08/2022;288.170.013
08/08/2022;290.423.340
09/08/2022;283.333.344
10/08/2022;294.356.659
11/08/2022;286.630.005
12/08/2022;300.029.999
15/08/2022;309.320.007
16/08/2022;306.563.324
17/08/2022;303.996.674
18/08/2022;302.869.995
19/08/2022;296.666.656
22/08/2022;289.913.330
23/08/2022;296.453.339
24/08/2022;297.096.680
25/08/2022;296.070.007
26/08/2022;288.089.996
29/08/2022;284.820.007
30/08/2022;277.700.012
31/08/2022;275.609.985
01/09/2022;277.160.004
02/09/2022;270.209.991
06/09/2022;274.420.013
07/09/2022;283.700.012
08/09/2022;289.260.010
09/09/2022;299.679.993
12/09/2022;304.420.013
13/09/2022;292.130.005
14/09/2022;302.609.985
15/09/2022;303.750.000
16/09/2022;303.350.006
19/09/2022;309.070.007
20/09/2022;308.730.011
21/09/2022;300.799.988
22/09/2022;288.589.996
23/09/2022;275.329.987
26/09/2022;276.010.010
27/09/2022;282.940.002
28/09/2022;287.809.998
29/09/2022;268.209.991
30/09/2022;265.250.000
03/10/2022;242.399.994
04/10/2022;249.440.002
05/10/2022;240.809.998
06/10/2022;238.130.005
07/10/2022;223.070.007
10/10/2022;222.960.007
11/10/2022;216.500.000
12/10/2022;217.240.005
13/10/2022;221.720.001
14/10/2022;204.990.005
17/10/2022;219.350.006
18/10/2022;220.190.002
19/10/2022;222.039.993
20/10/2022;207.279.999
21/10/2022;214.440.002
24/10/2022;211.250.000
